,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
35,2010-08-18,18.79694168042823,19.263037925791263,18.35143056712662,18.84763467919605,729107.5031136414,0.0,1.0,19.59,19.59,18.6,18.77,601300.0
36,2010-08-19,18.83043971532691,19.37273849829574,18.43077469270151,18.985451862171665,692024.3801404991,0.0,1.0,18.54,19.25,18.33,18.79,579100.0
37,2010-08-20,18.89636859513684,19.50326874030398,18.54335751089818,19.146576768894647,648873.2323622664,0.0,1.0,18.65,19.11,18.5101,19.1,296000.0
38,2010-08-23,18.991513785668403,19.64114559633859,18.68446741008105,19.316881560413062,600688.2473159204,0.0,1.0,19.09,20.3891,19.0,20.13,1088100.0
39,2010-08-24,19.112638498766295,19.772770651990022,18.84978863501557,19.482738761514423,548139.7481940151,0.0,1.0,19.25,19.71,18.95,19.2,673100.0
40,2010-08-25,19.255270460827823,19.898769228811496,19.03326254116687,19.64271311961124,494369.3465674822,0.0,1.0,19.16,19.98,18.56,19.9,503300.0
41,2010-08-26,19.413321134927585,20.023321631880876,19.226032970684145,19.796753502869173,444138.8039482628,0.0,1.0,19.89,20.27,19.6,19.75,433800.0
42,2010-08-27,19.584211644309065,20.14816145265244,19.426476608087498,19.94797484648833,398029.19887758116,0.0,1.0,19.75,19.865,19.5,19.7,379600.0
43,2010-08-30,19.765055266449696,20.276484062084002,19.632771031594647,20.10098004104767,356861.08742895495,0.0,1.0,19.7,20.19,19.61,19.87,732800.0
44,2010-08-31,19.949078481385193,20.408782545130517,19.833458887234897,20.249490606522045,325795.19107382407,0.0,1.0,19.66,19.79,19.33,19.48,201100.0
45,2010-09-01,20.129968895903094,20.54339899842427,20.01784090014269,20.385508957116613,309059.5886924764,0.0,1.0,19.62,20.69,19.6,20.45,494900.0
46,2010-09-02,20.299006060430973,20.68173047505302,20.17252138997147,20.503647807199307,313255.75742928364,0.0,1.0,20.37,21.24,20.3103,21.06,487100.0
47,2010-09-03,20.44797324390494,20.82547408580253,20.284507972426162,20.59855208940262,344628.98003504775,0.0,1.0,20.87,21.3,20.66,21.05,434600.0
48,2010-09-07,20.576635259481332,20.970209364400024,20.3578103053467,20.671543266175792,398946.9298968616,0.0,1.0,20.61,21.0,20.5,20.54,243400.0
49,2010-09-08,20.686214325445555,21.109047300434003,20.401300962785974,20.72647076038657,469352.542864887,0.0,1.0,20.66,20.95,20.6,20.9,288400.0
50,2010-09-09,20.779604995891212,21.239967526742983,20.420932682430692,20.764937721227923,550231.7440823478,0.0,1.0,21.0,21.05,20.69,20.71,376200.0
51,2010-09-10,20.86084492111316,21.360389370984493,20.424827041638977,20.78936765052648,634545.1465086392,0.0,1.0,20.75,20.93,19.76,20.17,386600.0
52,2010-09-13,20.926617376694757,21.462749165890692,20.416054955798423,20.80165361240701,720011.8119502544,0.0,1.0,20.89,20.8995,20.5,20.72,360800.0
53,2010-09-14,20.97273389777706,21.541076887186776,20.395199733037668,20.80302474975981,806291.5502022476,0.0,1.0,20.54,21.6,20.53,21.12,654700.0
54,2010-09-15,20.99768359313113,21.587153464235715,20.369028941558632,20.797091253903787,888170.0748885133,0.0,1.0,20.98,22.0,20.79,21.98,684600.0
55,2010-09-16,20.9996489657882,21.592740939032748,20.343802331312293,20.7872946885684,961084.6425961406,0.0,1.0,22.15,23.16,20.84,20.94,2684500.0
56,2010-09-17,20.982420633604615,21.56389763490219,20.32051695034448,20.774653313061492,1023679.0805354748,0.0,1.0,21.02,21.32,19.8,20.23,1198500.0
57,2010-09-20,20.95271291371554,21.511655754639964,20.300006848072584,20.76000607873971,1073815.1256413,0.0,1.0,20.67,21.35,20.16,21.055,947500.0
58,2010-09-21,20.91151632141885,21.440339249358587,20.279692548203414,20.74242326394816,1113871.9504685777,0.0,1.0,20.89,21.55,20.67,20.77,796000.0
59,2010-09-22,20.860629913692517,21.356266978662173,20.256428684983398,20.72093159474212,1146981.3153563766,0.0,1.0,20.87,20.95,19.8,19.87,962900.0
60,2010-09-23,20.807059440948994,21.26803407296903,20.234346810663904,20.69773631710186,1166887.7747542283,0.0,1.0,19.89,20.14,19.5,19.56,668100.0
61,2010-09-24,20.756448274447404,21.181257995984957,20.21799123078698,20.674868471672422,1166816.1167406072,0.0,1.0,19.95,20.19,19.65,20.1,578900.0
62,2010-09-27,20.718743522498876,21.109331544507157,20.212295949063073,20.656150785652382,1141955.683207792,0.0,1.0,20.4,20.81,20.05,20.53,418600.0
63,2010-09-28,20.70360829577813,21.065197996561622,20.22208219066241,20.645170689924385,1087235.1995068325,0.0,1.0,21.04,21.49,20.76,21.4,1214500.0
64,2010-09-29,20.70634368205227,21.043229219684555,20.24373164498738,20.639387851955327,1007058.928089557,0.0,1.0,21.19,22.03,21.13,21.98,1969300.0
65,2010-09-30,20.719089431994853,21.03416871165556,20.271618972332664,20.63574840812576,910601.4761839522,0.0,1.0,22.0,22.1499,20.19,20.405,2195800.0
66,2010-10-01,20.735377006192994,21.02989712113349,20.30132667077994,20.630166561525037,799972.9628621694,0.0,1.0,20.69,20.75,20.31,20.6,597700.0
67,2010-10-04,20.74705372025284,21.019916441083232,20.327520595375535,20.61775339171126,678136.1176874366,0.0,1.0,20.43,21.17,20.3,20.99,643600.0
68,2010-10-05,20.753891123963776,21.00527451455968,20.34975651672276,20.601741899275858,555934.353912147,0.0,1.0,21.15,21.28,21.01,21.12,332000.0
69,2010-10-06,20.75853531692382,20.991104166197374,20.369314054799368,20.58711040324859,443226.951381822,0.0,1.0,21.06,21.258000000000003,20.32,20.46,313400.0
70,2010-10-07,20.757375803112225,20.973178431315457,20.3835330783492,20.574369657365292,351196.24546284176,0.0,1.0,20.57,20.64,20.34,20.43,141000.0
71,2010-10-08,20.74827098880093,20.94919735106344,20.391013026087506,20.565608779843156,291493.6234910162,0.0,1.0,20.43,20.79,20.39,20.43,267800.0
72,2010-10-11,20.731689544249914,20.920937599155668,20.391413846841157,20.560123710263763,260964.62092698552,0.0,1.0,20.44,20.699,20.07,20.24,171200.0
73,2010-10-12,20.706858188991035,20.887791915100916,20.38330756309123,20.553768120597244,249945.5636641142,0.0,1.0,20.2,20.2829,20.03,20.24,244000.0
74,2010-10-13,20.681501299045667,20.8611155761379,20.372734998766163,20.553952087999573,258083.92873013753,0.0,1.0,20.64,20.85,20.36,20.54,318200.0
75,2010-10-14,20.663721507752182,20.853041808465612,20.36582095620981,20.56788663246014,283586.3664418881,0.0,1.0,21.0,21.0299,20.4,20.75,294800.0
76,2010-10-15,20.649289762865322,20.85517606391419,20.35919491576735,20.587277785408013,315135.95824442845,0.0,1.0,20.89,20.9,20.25,20.54,284700.0
77,2010-10-18,20.63489080451444,20.859208460872217,20.35091294301586,20.605483492697065,343183.5945425439,0.0,1.0,20.52,20.6399,20.22,20.23,162800.0
78,2010-10-19,20.61358809547055,20.855569589610838,20.33423726967682,20.611179822457306,355567.8511446341,0.0,1.0,20.2,20.4061,20.0,20.05,245200.0
79,2010-10-20,20.578485502447812,20.833746153211138,20.302734328772207,20.5926620030049,339205.4027066,0.0,1.0,20.16,20.69,20.04,20.65,312500.0
80,2010-10-21,20.544702856945918,20.812052280612384,20.270844391090193,20.568099525859296,301930.49485483795,0.0,1.0,20.61,20.95,20.45,20.75,417100.0
81,2010-10-22,20.53230458833048,20.817977589237785,20.25687270257634,20.56381676469899,260377.296583754,0.0,1.0,20.68,20.93,20.55,20.72,161100.0
82,2010-10-25,20.556195207608372,20.864460649833195,20.276285777950164,20.595238052137702,217020.8126993776,0.0,1.0,20.94,20.98,20.73,20.85,118500.0
83,2010-10-26,20.633937577189457,20.967513447158428,20.347289994191414,20.681283364704147,176245.78818194734,0.0,1.0,20.8,21.87,20.51,21.36,660900.0
84,2010-10-27,20.77175919706112,21.14346025097254,20.47307575033651,20.834246880197043,155282.8961027287,0.0,1.0,21.25,21.38,20.65,21.0,356500.0
85,2010-10-28,20.96976837171152,21.401122045786288,20.65070608619444,21.05856292591103,167804.05831971872,0.0,1.0,21.39,21.5,20.96,21.19,224200.0
86,2010-10-29,21.24247709034773,21.765950840064736,20.892336818904738,21.376653905934983,233121.4122884974,0.0,1.0,21.14,21.85,21.052,21.84,280600.0
87,2010-11-01,21.600804001589275,22.26019878656661,21.20628913926254,21.807309920226476,370840.02215845033,0.0,1.0,21.94,22.75,21.31,21.41,455800.0
