trend,BOLLM,APO,CCI,DX,MACDFIX,MINUS_DI,ROCP,STOH,ADOSC,HT_TRENDLINE
1,15019.70159,645.2858861,-61.41166895,30.16847498,-79.96304003,10.56149932,-0.019131429,28.12404696,52200.9175,14374.69418
1,15021.70838,577.8304306,-13.22510214,37.41401975,-82.87872885,9.807604123,-0.01602343,45.19402784,59568.7314,14445.37044
1,15124.71556,521.0043133,95.33866318,49.14486844,-62.0915707,8.869141023,0.001681781,64.59605976,76014.72091,14495.84228
1,15340.7366,478.3425774,190.9522034,59.63128895,-19.3546808,7.899932634,0.030924929,81.16728109,103634.0095,14564.73166
1,15659.68022,451.3045346,230.2298004,67.1695016,37.5369008,7.056701868,0.069049014,87.89476042,142661.9457,14654.54277
1,16051.0344,440.445994,219.0462101,71.85566002,95.67083639,6.426044618,0.106612977,91.36859428,189185.8289,14778.42809
1,16443.70389,444.7931834,171.1765311,73.70809121,137.7185912,5.942538953,0.130099991,92.67346108,235610.9931,14929.73859
1,16764.73564,464.0881837,130.3879101,73.9334627,156.00608,5.504818694,0.141002923,92.08189885,271364.0728,15099.68408
-1,16986.65105,501.0485617,104.491023,71.73293631,155.6759906,5.549820029,0.146424068,88.55861259,289124.5576,15281.84185
-1,17098.15367,555.4717566,85.07875045,67.20745091,140.4504453,6.043269505,0.144022959,79.70426954,293598.7912,15477.77509
-1,17092.34544,619.1244433,64.21661461,66.69889835,107.8316404,5.813835633,0.128551886,59.80429666,275727.7633,15648.72103
-1,17021.75169,687.4235726,48.75671113,66.69889835,67.22251073,5.671636505,0.106097965,34.86363595,181316.5353,15792.24892
1,16978.97022,765.9264996,46.39147073,58.87582335,41.24816923,6.999418072,0.089460537,26.14496374,197683.8374,15912.77773
1,16987.17448,845.8485739,54.42536395,63.53998722,31.62863693,6.333555208,0.071757701,43.35486841,261173.0899,16020.6413
1,17005.86923,899.3918631,72.54371928,67.01224394,18.1395344,5.887411451,0.039362178,64.82737816,262040.1817,16137.13608
-1,17039.45469,912.6945297,98.64226482,68.65632104,-3.873154391,5.568037139,0.008192659,69.02510125,-67235.41135,16248.99019
1,17111.91629,892.0963164,87.47393203,50.54107642,-20.62091567,9.265880008,0.000544832,61.40601709,-247125.9243,16361.08864
1,17181.67412,848.5774034,46.69206122,26.81349907,-27.96872798,14.6821336,0.007861747,62.3877245,-244426.13,16477.21708
1,17209.13231,794.5323426,80.33645126,28.62823902,-35.67851877,13.53767242,0.010400812,69.9585514,-167559.9721,16596.57749
1,17253.16734,744.2145521,183.0926465,35.40701279,-39.6618968,12.86787962,0.018346441,75.62113642,-186084.0326,16720.68392
1,17399.69156,710.3445131,243.908035,45.70037231,-20.15772498,11.56130827,0.053213011,78.49292574,-199248.9243,16851.8378
1,17628.70596,695.8626347,240.2583143,53.72477591,17.82988247,10.41084671,0.089785911,83.62863425,-128513.279,16989.31871
1,17859.42175,696.6346069,187.6958324,56.32424336,45.98911317,9.474667365,0.088672862,88.24456498,-33060.45243,17123.95771
-1,18076.7326,701.9544206,141.8038675,56.33306264,54.56699082,8.753854395,0.07121552,88.18805552,29400.49247,17244.2151
-1,18275.90034,691.1044547,114.5760556,56.74474862,51.73454201,8.121364876,0.07074219,83.22741774,54371.8303,17344.15712
1,18397.49922,660.8471172,97.41357656,57.38643783,43.25610372,7.522650094,0.078438062,76.42485046,60652.15972,17426.64225
1,18434.22531,634.3718212,88.62326462,58.36067996,32.63811846,6.970231536,0.077471245,70.28233098,57744.03064,17491.74473
1,18453.53177,625.8673546,84.0157284,59.47656175,21.91036887,6.461471197,0.072295845,66.48061549,53258.04692,17555.36638
1,18490.19056,629.0286344,72.78362279,54.99501521,10.79098071,6.813968126,0.073306786,66.55547299,83879.39508,17611.27655
1,18532.31478,640.1063631,63.1770661,50.88114478,-1.832826943,7.032930566,0.06929875,69.10571095,153269.331,17671.97243
-1,18564.54666,666.9749342,73.56835083,54.30635672,-17.87758061,6.557518374,0.043152677,67.92839925,151534.6989,17737.71901
-1,18575.07403,699.774041,88.10480884,57.04793057,-37.9030262,6.184696794,0.012913615,59.32058284,-5310.154164,17808.40785
-1,18558.4724,702.0064547,52.4780696,37.94486634,-60.4633587,9.53161153,0.000733209,46.58423787,-119738.2634,17863.13103
-1,18510.96363,660.822921,-71.85972227,13.26528493,-85.58325179,14.98537491,-0.002946936,39.32133393,-101320.9419,17921.91059
-1,18429.21568,600.1042272,-172.8401651,6.230560743,-113.9466592,15.87794147,-0.010764163,35.78599147,-28754.7687,17960.11306
-1,18320.0394,533.3747433,-186.4606416,6.029748731,-143.8654208,14.97165459,-0.0208725,30.83131382,16194.33482,17999.13876
-1,18193.39605,453.6567496,-174.8953021,3.847982764,-172.556561,14.89506257,-0.031417317,21.75109628,14168.19602,18035.05485
-1,18065.74759,363.0081667,-147.5000219,1.40946307,-194.4935404,15.00452177,-0.038898794,14.44332004,-16599.16895,18050.81529
1,17968.7462,276.5317592,-115.2031354,3.1228093,-202.5611617,15.39751475,-0.038863054,19.04644605,-17562.08638,18055.69338
