Open,High,Low,Close,Volume,trend,MACD,CCI,ATR,BBANDS,EMA20,MA10,MA5,MOM6,MOM12,ROC,CMO,WILLR
20284.59431,20522.31996,20171.3884,20379.39887,183582.4693,1,333.4910865,-87.35092238,402.9260943,20371.35902,20262.13869,20504.66389,20371.35902,-222.4986,20540.86201,19982.48559,32.28798655,-63.93718494
20223.13542,20503.51568,20213.0291,20372.90982,180834.3641,-1,304.6554299,-72.80149907,394.8947004,20361.16247,20272.68832,20471.1557,20361.16247,-143.47829,20511.36548,20067.01714,31.42310706,-64.64216802
20215.91619,20443.08933,20189.02578,20303.16845,178227.6546,-1,273.0281203,-80.14512981,384.8353325,20350.7763,20275.59119,20431.78197,20350.7763,-120.72413,20476.8931,20144.55929,22.17779624,-72.16662074
20242.29446,20355.71126,20116.48732,20193.61837,176311.058,-1,236.3984198,-100.5259081,374.4345188,20321.39766,20267.78426,20384.47773,20321.39766,-161.48091,20434.02865,20211.96568,9.184544295,-84.58052763
20286.6516,20271.18686,20037.59911,20082.98072,175543.4375,-1,196.180142,-122.3132299,364.3740353,20266.41525,20250.18392,20332.58606,20266.41525,-257.53088,20382.86823,20267.59407,-2.134975621,-94.86235541
20281.77827,20185.5117,19943.96102,19988.83973,176278.0603,-1,154.9246016,-146.5418926,355.6009385,20188.30342,20225.294,20279.83122,20188.30342,-369.05304,20326.38315,20310.88503,-10.62561526,-95.35519574
20164.80186,20100.69126,19835.25188,19934.07955,179129.5893,-1,116.4680288,-168.7430083,349.1608272,20100.53736,20197.55929,20230.84992,20100.53736,-445.31932,20270.73165,20342.47842,-15.23255753,-90.53148489
19989.85799,20036.86076,19738.1762,19924.06974,183187.8023,-1,84.21246099,-155.3320077,345.5553795,20024.71762,20171.51266,20187.74696,20024.71762,-448.84008,20221.37179,20364.05241,-16.08406759,-82.69320128
19819.54781,20003.93558,19667.27226,19950.01757,187269.5609,1,60.05123089,-134.6421817,344.9202324,19975.99746,20150.41789,20148.69756,19975.99746,-353.15088,20181.88221,20377.86317,-12.91754904,-73.24556781
19753.84181,20050.29016,19685.40794,20034.04182,192188.6873,1,47.13993687,-95.6751119,346.3460887,19966.20968,20139.33446,20116.31246,19966.20968,-159.57655,20155.12742,20386.91478,-3.109216345,-61.88438141
19892.22994,20220.02731,19851.36327,20193.36424,197775.2573,1,49.19652421,-25.93482216,347.9402281,20007.11458,20144.48015,20097.709,20007.11458,110.38352,20142.86514,20394.61126,12.42443724,-40.68713575
20177.80027,20476.16752,20121.83407,20405.15549,204382.0748,1,67.14219493,73.1970229,348.3968868,20101.32977,20169.30637,20100.93357,20101.32977,416.31576,20146.8037,20403.39124,27.96113724,-13.99042413
20526.03426,20772.38389,20440.58679,20644.98078,212365.1051,1,99.56840231,157.9008228,349.7419948,20245.51198,20214.6087,20135.1148,20245.51198,710.90123,20168.93552,20414.60806,40.77433278,-11.52852857
20842.41233,21041.45536,20729.00772,20867.0482,215084.8093,1,141.5536478,195.4229097,353.0800366,20428.91811,20276.74579,20202.45778,20428.91811,942.97846,20210.11372,20428.26598,49.69637789,-12.69169734
21026.62937,21213.54106,20905.48629,21024.65492,211696.2313,1,185.4075398,185.3782081,352.609524,20627.04073,20347.97523,20296.6252,20627.04073,1074.63735,20270.23759,20443.05845,54.89033782,-12.21560831
21109.536,21309.06798,20993.69038,21130.08005,202971.3775,1,226.0630776,158.5288929,349.9501009,20814.38389,20422.46141,20410.74924,20814.38389,1096.03823,20348.27607,20458.3315,58.01328964,-10.90196106
21149.10547,21364.55694,21037.53162,21204.0603,174662.4678,1,261.241048,128.3558597,348.3126165,20974.16485,20496.8994,20537.74731,20974.16485,1010.69606,20441.69937,20474.31096,60.10074332,-9.456082524
21195.82476,21418.40351,21084.79235,21274.40025,151864.1055,1,291.436194,109.7854794,347.2625125,21100.04874,20570.9471,20672.78036,21100.04874,869.24476,20548.82941,20491.9544,62.03349713,-8.223441847
21306.64877,21514.33756,21186.36654,21372.7712,185645.3346,1,319.6194048,102.6410888,345.8845487,21201.19334,20647.3113,20815.05573,21201.19334,727.79042,20668.72038,20513.01951,64.61504329,-7.66439389
21446.054,21624.01549,21314.74752,21475.10561,225503.6895,1,346.2213103,100.3604119,343.2690788,21291.28348,20726.14885,20959.1621,21291.28348,608.05741,20797.97337,20537.96076,67.11973413,-7.610087911
21558.6812,21705.11209,21425.29861,21548.11101,188793.6908,1,368.9415096,97.24658757,338.7365361,21374.88967,20804.43096,21094.63678,21374.88967,523.45609,20931.14782,20565.66989,68.81559752,-7.704289498
21610.25114,21731.0364,21470.03071,21569.06057,127688.0368,1,384.2089639,92.40903682,333.1843328,21447.88973,20877.25283,21211.02729,21447.88973,438.98052,21059.06605,20594.37218,69.30484653,-7.848563063
21563.08968,21672.32957,21416.30402,21512.91823,122678.3998,-1,387.3136036,78.74715139,327.6729911,21495.59332,20937.79239,21297.82103,21495.59332,308.85793,21169.02888,20621.5726,61.97102805,-10.66264839
21438.52853,21547.75921,21284.77234,21396.72175,144391.9344,-1,376.0629486,55.08488515,323.0525539,21500.38343,20981.49995,21350.78839,21500.38343,122.3215,21251.65941,20645.90797,47.70979111,-17.78578651
21280.80917,21395.24781,21066.98298,21254.18948,147491.826,-1,351.5926196,12.0792787,323.5301408,21456.20021,21007.47038,21373.74185,21456.20021,-118.58172,21302.4268,20667.65104,32.31944329,-29.63250246
21102.10493,21224.56595,20852.49306,21094.1085,141937.8326,-1,315.6439631,-57.27474567,329.1134464,21365.39971,21015.72163,21370.14469,21365.39971,-380.99711,21321.34849,20686.90838,17.51041003,-49.35705316
20919.0587,21049.31215,20817.82713,20928.88756,141309.4474,-1,270.7019612,-114.9495492,325.3397267,21237.3651,21007.45172,21342.62742,21237.3651,-619.22345,21313.36788,20703.74155,4.509630503,-80.05248313
