Open,High,Low,Close,Volume,trend
17746.26102,17985.92135,17737.49561,17820.46708,271199.9603,-1
17805.3125,18036.77214,17656.65823,17869.67942,263093.5133,1
17968.06511,18179.21653,17646.80937,18004.11281,250575.774,1
18153.55218,18339.35938,17909.25708,18163.74621,236874.5055,1
18314.49388,18481.52454,18225.64541,18294.83946,223013.9373,1
18395.14563,18561.04601,18274.38596,18337.323,210221.8722,1
18400.86622,18577.02901,18163.94889,18303.91548,199085.8557,-1
18364.13051,18554.71011,18081.63668,18233.3346,189512.3664,-1
18282.0348,18475.02506,17997.31617,18132.41351,182437.7915,-1
18156.74621,18324.42916,17873.01885,18013.56997,178765.336,-1
18013.83967,18140.15961,17742.76382,17896.68397,178096.2924,-1
17877.05475,17960.44924,17634.18688,17795.76554,179731.2669,-1
17779.17878,17838.42424,17567.53428,17738.2211,183131.6663,-1
17756.06372,17830.69973,17565.88597,17752.86059,187578.1528,1
17807.23844,17924.75924,17629.79852,17836.9631,192609.2141,1
17917.95038,18087.56473,17748.44174,17976.90416,197976.3329,1
18093.14883,18306.8935,17927.738,18171.4266,202990.7103,1
18331.73036,18562.95813,18168.27237,18414.1291,206985.6637,1
18614.92701,18842.83783,18450.68674,18690.1108,210052.2976,1
18925.16615,19141.5094,18756.18004,18986.27786,212474.9539,1
19228.47323,19431.73565,19049.92483,19276.85011,214423.3015,1
19490.09267,19686.7612,19297.10536,19535.69474,216167.2995,1
19712.62713,19908.15716,19501.91426,19762.4934,217805.6413,1
19906.2583,20101.72469,19676.35454,19962.46976,219306.2509,1
20082.35748,20278.44902,19837.01957,20141.75636,220898.865,1
20254.7794,20451.55008,20001.63764,20308.47593,222814.9664,1
20415.27008,20613.19211,20161.83166,20457.31078,224860.1794,1
20552.19113,20752.29948,20305.73163,20580.88088,226740.3088,1
20654.52182,20857.88153,20412.81513,20671.88842,228286.5452,1
20711.98938,20920.08669,20465.74075,20724.67642,229277.1873,1
20734.29325,20945.8463,20477.08599,20745.09726,229572.8486,1
20734.37842,20945.1582,20460.82239,20740.81774,229148.4356,-1
20727.24593,20933.91007,20453.77092,20726.86817,227745.6234,-1
20728.93909,20927.09004,20489.83393,20716.8371,225136.9857,-1
20733.64211,20920.91459,20548.76067,20707.99174,221546.8507,-1
20731.24229,20910.17418,20607.68358,20696.90575,217269.9827,-1
20716.54296,20879.00234,20616.96328,20666.66071,212638.5286,-1
20681.28584,20812.28322,20527.72474,20601.89747,208054.5674,-1
20632.02698,20724.08897,20376.14171,20516.38811,203534.4349,-1
20580.29583,20629.52756,20207.60958,20423.89258,198987.3026,-1
20519.6611,20554.25013,20081.19365,20355.09928,194593.7458,-1
20448.91684,20525.18049,20059.90265,20340.5116,190474.4534,-1
20371.53116,20523.20099,20108.34735,20357.89277,186726.4426,1
